date,city,segment,stations,avg_occupancy_pct,pct_stations_zero_use
2026-07-15,Bellevue,all,75,10.0,66.7
2026-07-17,Bellevue,all,75,29.8,24.0
2026-07-24,Bellevue,all,75,27.9,21.3
2026-07-25,Bellevue,all,80,20.4,41.2
2026-07-26,Bellevue,all,80,16.9,38.8
2026-07-27,Bellevue,all,80,31.1,25.0
2026-07-29,Bellevue,all,80,26.8,36.2
2026-07-30,Bellevue,all,77,22.0,31.2
2026-08-01,Bellevue,all,77,21.7,37.7
2026-08-02,Bellevue,all,77,14.6,54.5
2026-08-04,Bellevue,all,77,25.8,28.6
2026-08-05,Bellevue,all,77,23.1,29.9
2026-08-06,Bellevue,all,77,17.1,59.7
